Date,Product_Owner,Product_Promoter,Product ID,Amount (Pesos)
2019-12-20,iytsesnefnnii,Pm21a12,6379841,-55.0
2021-12-03,dnrhlteconriestnau,,3688815,35.089999999999996
2020-06-14,lorsotcpo,oalstff,6620445,43.339999999999996
2019-01-05,daynwennemi,,6459037,59.18
2021-09-12,alniogil,,4450927,22.0
2023-04-08,tsiLggDaoiol,,7569627,42.13
2020-04-25,iLslnBase,tm07mahcere0o,6832800,117.37
2021-01-07,op1rosa,,3796559,22.0
2019-04-09,okmeobofr,u0d1bse3,4898400,43.010000000000005
2019-11-29,dai7ly,2ypaso1er,6869824,147.4
2023-01-03,manhsi,,4195958,-95.26
2021-07-30,eogbrr,abblrgool,5985707,-57.53
2021-09-15,vorvipus,af0vfsb1,7007000,43.339999999999996
2019-11-09,anlsindrheteornuct,,3688815,36.19
2021-05-30,froeookbm,oobblrgla,4915053,66.33
2021-12-08,vllniebioaca,22bsud0e,5474352,50.05
2020-05-20,nyiSyutUo,,7360717,45.099999999999994
2024-05-27,cartrnnhetsueodnil,,3688815,11.0
2022-09-18,lcoster,roagllbob,5017363,43.67
2021-04-12,otaocmpb,,5666830,43.12
2021-12-04,fdguei,lbgrblooa,5096546,43.67
2021-06-02,ytwasosl,sbd1ue02,4854447,49.28
2022-03-19,gbraaofi,,7081529,284.35
2019-11-28,kformoobe,3su1d0eb,4901455,42.9
2023-02-20,omredtcooh,mTspur,5036083,62.260000000000005
2021-03-09,sdwuniofr,aaracamlir,6227468,324.5
2021-02-04,llganioi,,4450927,22.0
2022-05-09,oierdtaltshrnuncen,,3139747,16.169999999999998
2024-05-26,teocslr,esolcrt,4906603,65.34
2020-04-05,ivutlraelN,0setl06y,6762769,266.53000000000003
2019-05-29,prngeg,balborlog,6531746,45.98
2021-08-11,mfbekoroo,orbllobag,4963335,37.18
2019-06-04,epworziaen,iwseegz,5378113,109.89
2021-10-27,eiwsrgrsopeintck,ydek0amo1pr0,4649203,42.79
2020-01-21,rfeobkoom,usd1e0b3,5498441,37.4
2020-12-02,scipkotgrrwseeni,AcLenigeyf,4649229,-68.64
2021-01-01,-oLGpurA,,7286799,112.64
2022-06-28,oedtattofeled,ctGmiVreriduoiaau,4756687,130.57
2024-12-15,eceilasrrnunntdoth,,4275817,11.0
2022-07-04,rrdgipon,ralbgolbo,5591521,67.32000000000001
2023-06-30,opabotcm,,6219850,43.12
2023-08-08,iugdef,booabrgll,5096572,-64.57000000000001
2022-04-07,scloret,labgbolor,4930952,62.260000000000005
2020-06-25,toetkdei,dneietvsiehacp,3500081,37.07
2021-05-26,faoteteoledtd,2W0O,5674409,53.349999999999994
2024-07-28,celblassinitsanu,,2084121,51.81
2022-12-06,iicdsaalpo,,5431556,11.0
2021-09-12,ounertcnhlenartids,ncreohtaslitrdnuen,3808454,20.240000000000002
2020-01-05,aehmoraecytpoh,goblarblo,7350252,65.34
2019-03-09,ifgude,oargollbb,5376319,36.739999999999995
2021-02-13,oberomokf,s1d0b3ue,4901455,43.56
2024-12-14,alyosswt,2bdus10e,4854304,43.010000000000005
2022-02-28,peedbotrmlreantsogim,urus9354a,6172075,482.57
2021-08-01,gefuid,golblarob,5078463,43.67
2019-08-17,eaypoethohcamr,bolbgoral,7513662,43.67
2024-07-27,amegioceamrhl,,4965298,45.760000000000005
2020-03-04,yeoarmhaptoehc,bloolgarb,7513662,43.45
2024-06-18,meitco,3ckle3aube,4530864,171.27
2021-02-27,brorge,oarobglbl,5985694,44.330000000000005
2022-08-18,hsetriesc,nroehmr,3928444,54.34
2021-03-13,tryMnha,,1972581,81.72999999999999
2020-06-29,omtcie,oorpi2psr,4531007,236.83
2022-01-10,octdehoorm,blborgalo,5130567,43.67
2022-09-09,LiBssanle,r70mmehatc0eo,6832787,-79.64
2023-01-12,odpnirrg,lagbobolr,5591560,42.79
2020-01-12,eetplpnmSCCsu,eFCrai,6889454,182.16
2022-11-30,uiegdf,blooglbar,5086237,44.44
2020-03-31,ofloco,siTeog,5347238,75.78999999999999
2021-10-05,oz8c0aed,,5858411,43.12
2023-05-20,iencirskgrtposew,aky0pd1me0or,4649203,46.31
2024-10-22,emrfbokoo,sb3eu01d,4898400,43.230000000000004
2024-09-09,snaeislBL,crmta0mhe7oe0,6832813,281.82
2023-08-24,ooftlxs,,6046040,67.42999999999999
2019-07-14,oiritskgesrcwnep,a1r0edypo0km,4649216,180.51
2022-06-09,uicltdtarnnsrnohee,,3688815,-35.2
2024-03-04,ermooobfk,s03beud1,4898543,38.5
2023-09-29,orbnotfok,sbav10ff,4976556,45.21
2021-08-13,obmtcaop,,5666700,-95.26
2023-05-19,lcortsoop,s0eub43d,6752369,43.339999999999996
2019-05-12,eeavnhituegsw,ytsrPPeuwohaap,7111247,102.30000000000001
2019-09-09,rtieescsh,naymigeslgc,4994808,-51.81
2022-03-18,ocndehenntrsuatirl,,3688815,-33.55
2024-03-01,tDoisLggolia,,7569627,71.72
2020-09-21,itnartocelhnnerusd,,5466721,17.05
2019-06-26,trncsnaeedoilrtunh,,3688815,11.0
2022-03-20,ossatywl,2ueb0ds1,7153432,51.37
2023-12-31,uieerrenztg,orrgsyunap,5803694,43.12
2023-01-23,awoysstl,bs2d0u1e,4854304,44.0
2019-08-07,scoorlpto,ofsaftl,6620445,41.47
2024-03-14,dortoomech,earelnacmvl,5036122,36.3
2024-06-07,otro,,4234646,11.0
2022-06-16,recegikpwnistosr,odmap0ky10re,4649203,43.12
2023-07-04,tenundreathsilronc,,3553056,11.0
2022-12-22,lsastyow,2us10edb,4854304,43.67
2019-06-11,urertipedidim,obglrlabo,7127016,45.87
2019-03-24,moekorbof,debsu103,4898543,36.3
2021-07-06,tomeic,baekl3e3uc,4531020,24.86
2023-01-13,bpesiu,,7496671,285.66999999999996
2021-04-13,rkefbomoo,albgborol,5926180,48.84
2020-08-26,yoslwats,eu0bs1d2,4854304,42.019999999999996
2023-04-14,brnaoecfr,lgroblbao,6461910,45.98
2022-01-30,fuisdwrno,,6695260,78.65
2019-03-09,eorokbofm,borlbolga,4915066,36.410000000000004
2020-07-18,azmtmp,roe2csocmm,7290842,102.30000000000001
2020-09-26,scterlo,bblloraog,5017363,43.45
2019-04-12,meorbokfo,sd0b31ue,5498545,36.3
2023-04-28,ueifdg,20sue1db,5491486,108.46
2024-07-03,lawsyots,0e2bu1ds,4854304,42.9
2023-11-16,rdnrigpo,bbroalglo,5591417,42.9
2023-04-08,roobfekom,raglobblo,4915079,44.55
2022-04-09,syAtingnuutsAsuke,,6966947,-234.52
2024-07-14,rop1osa,,3804905,22.0
2023-09-15,fombokeor,lobogrlab,4915053,65.34
2020-07-14,ufigde,lobrlgabo,5078463,43.67
2022-06-18,yaaonEPsPwerl,ojgehtr,7053917,28.16
2019-03-21,cmotie,gzlrzo,4530864,180.84
2023-01-21,tcieom,8buogrorbee,4530838,118.36
2019-09-15,metico,iOlmourifCfnpaciT,4530864,178.86
2021-06-27,tmecayhpohaero,bgoallorb,7664085,44.0
2020-09-23,dalelilduaalcwc,oljrkoae,4955418,36.19
2021-02-04,tposloocr,stfafol,6620445,43.89
2023-09-15,erwtegpisren,,7349888,234.19
2019-08-30,rnohedtlitcsaernun,,3688815,38.28
2021-07-20,oticme,aihlhthehegr,4530838,119.24
2024-07-28,lseocrt,blrogloba,4930783,43.12
2024-11-08,eiratuNlvl,adpvseioefl,6792513,132.66
2019-11-28,emoectpm,tuiofsarsmrasekn,6010108,129.14000000000001
2023-01-09,nsewslsumGteop,,7157059,74.91
2022-07-25,tsesmdyaar,,7081841,179.08
2024-09-03,woiaenlmn,,5480423,58.849999999999994
2020-01-04,idfgue,golrabblo,5096533,-34.980000000000004
2023-12-08,tnoeanurhnidetslrc,,4275817,33.55
2022-12-24,toemic,itegMolbanLvcii,4530981,-123.97
2024-11-12,onpdrrgi,abllobgor,5591417,43.89
2021-12-21,berrog,bralobogl,5985707,55.22
2021-11-05,fooolc,ucrpminto,5332821,137.72
2020-03-23,_hndnnacPauLreIalt,,6816017,19.69
2023-06-13,iemFPro,tls6ye00,7373899,74.58
2021-11-18,kmsstalasolyelcid,rboglabol,6898229,38.06
2020-12-01,hdyliap,dliyhpa,5678842,45.760000000000005
2021-10-29,bekoromfo,boolralgb,4915053,65.67
2021-02-08,rmfokoeob,glrolboba,4915079,43.339999999999996
2024-12-24,imecot,,4531020,24.97
2020-11-04,suateegvniewh,vlrexabkoscal,7161661,43.12
2019-01-01,latwsyos,s02ud1eb,4854291,36.410000000000004
2022-07-09,naeternidrsoctnluh,,3688815,11.0
2023-02-17,Nosoecnti,50a1tg1,6995105,117.69999999999999
2024-11-25,lneiuentnhosrtacrd,,5621993,16.169999999999998
2023-03-15,wsetnevegaiuh,emxocm,7111221,47.3
2024-02-03,eeortu2lhn,,5176886,141.35
2019-06-24,frwndoisu,,6024473,119.68
2020-02-02,anhctnmo,,4345575,57.419999999999995
2020-01-18,eroobfokm,sf1a0vfb,4969757,29.81
2022-07-10,eedmrLnSfatptFoeyemeorslhi,,7328763,40.589999999999996
2023-09-01,lvnaigon,,4026451,53.02
2024-01-30,rgeobr,orbalbogl,5985694,43.339999999999996
2023-12-27,snrehuncdrtnoleiat,crdnteehunstlionar,3553082,38.5
2019-05-25,otaopcmb,,6219850,45.43
2023-02-11,LairdbycBrkeayt,eiirtmmtr,6030947,44.11
2020-04-13,ru1Tb32a,piiffuanrTmocCsOli,5698628,104.83
2020-07-05,ictmeo,33lkcabeeu,4648150,-36.96
2024-06-30,lFasctihTaaitlclhg,,7514598,16.94
2022-05-20,orkmebofo,ue031dbs,5498441,-37.4
2020-02-09,stalsyow,s2e0udb1,4854304,43.67
2019-07-07,vduipb,hhcpmtateanastt,7548515,100.32
2024-05-10,amsedrasyt,,7081841,169.4
2019-01-15,rntnaoderenuchtsli,,5466747,36.19
2023-06-29,ticome,bkacelu33e,4530864,171.27
2021-03-14,laonsrrhntdcneeitu,,3146767,27.17
2020-07-13,guefid,rlblooabg,5078450,36.96
2024-03-17,gpdrrino,obboalglr,5591521,62.260000000000005
2024-07-09,oteslrc,aobrblgol,5017363,44.22
2021-04-11,ofeombork,loalbgrob,4948320,46.2
2022-09-12,udiefg,aoglblorb,5085951,62.260000000000005
2020-11-18,rpgondir,galboorlb,5591417,44.22
2021-06-29,renorsuthdtnlcinae,,4652076,-101.86
2022-04-29,ookomfebr,1dubes03,4898465,62.260000000000005
2019-03-01,goiprndr,llagoobbr,5591417,43.67
2019-05-25,moiuauctrsnps,331k1rmoa,6326437,323.95
2023-02-07,nectndneluaoihrtsr,,3553082,36.19
2024-09-09,attetedeofdlo,evarle,4756687,130.9
2021-03-17,alNvtueril,l6ys0et0,6762535,313.39
2021-11-22,mcoeit,eu3e3kblac,4530968,69.63
2023-04-06,pmastisuuorcn,vmerru,6334991,1438.14
2022-04-22,3ev2lo38ve,,7094373,-286.0
2022-12-02,dcemthrooo,saftlfo,5520034,43.45
2020-08-22,toiecm,kc3ub3laee,4530838,120.01
2020-02-14,uhmtdggeora,1fbfsa0v,6208774,28.6
2019-01-08,itsenseininyf,jillatet,6386575,56.43
2019-06-07,oasobtor,aemrsytdas,6711874,53.239999999999995
2024-05-23,wvegiasetuneh,shPwtPueoaprya,7111286,-35.86
2024-10-28,ekroobfom,0ed1bus3,4901481,-34.980000000000004
2021-07-05,tdofaltdteoee,valere,4756687,-128.26
2023-03-29,rTh-hcal-aewoditWNn,,6121505,160.93
2022-12-16,cofool,g1a3a2M,4057456,36.19
2020-11-12,geiufd,lblboroag,5078632,45.650000000000006
2024-03-09,osrtbaoo,besupi,6711900,168.19
2024-05-20,cPgeolnitAoy,,7224100,-58.63
2021-12-20,itcemo,,4530838,112.86
2024-08-10,combaotp,,5666830,54.34
2021-03-24,ifeudg,lrbblgooa,5078463,-34.980000000000004
2021-05-26,iodalasipc,,5431465,11.0
2023-08-18,oocotlsrp,tlofsfa,6620445,43.56
2020-12-09,mobeorfko,01buds3e,4898374,34.980000000000004
2024-07-29,okobefomr,,4900441,43.339999999999996
2021-12-25,moeboorkf,ollbagobr,4915079,43.230000000000004
2020-07-06,efrmkoobo,ud30e1sb,5498441,37.4
2023-05-14,eegswnvihueat,ecm2srmooc,7111221,44.88
2019-11-02,toor,,4234646,11.0
2020-02-17,ramptta,,4241198,19.69
2022-06-22,spstregwiiekocnr,biwiizeKaeSn,4649216,-86.78999999999999
2020-11-20,egorrb,arbloblgo,5985694,43.56
2022-02-03,rtoo,,4234646,11.0
2022-09-15,otpaombc,,5666830,49.28
2019-01-02,ephaemhtacoory,logabborl,7352930,43.12
2024-04-02,igndorrp,bbloglroa,5760690,45.32
2024-05-19,ocolfo,,5332821,155.76
2021-02-26,inpogdrr,oaorblbgl,5591417,43.56
2024-01-11,erfseuosnmftanti,,7318168,138.70999999999998
2019-02-07,77kkk77k,,7092995,272.25
2023-08-30,rtssyamead,,7131748,94.38
2019-04-04,oferokomb,olrblbgoa,4963335,36.96
2021-10-06,erkmobofo,lgbrlooba,4896333,67.42999999999999
2020-11-18,piogrnrd,bgrollabo,5591560,45.54
2023-08-24,easellyrac,d4useb10,5048056,-62.260000000000005
2022-02-23,roto,,4234646,11.0
2023-07-24,olvljerxbe,,5541497,26.51
2021-01-27,skldlleostasacymi,orllaobbg,7016386,38.61
2022-01-14,sussuAnekyguinttA,,6992466,254.20999999999998
2022-12-07,rxPiuseMValog,91h10p20,7156773,156.97
2022-08-01,mcieot,tooprkycsear,4530864,169.29000000000002
2021-03-31,hntreldnnroiscutea,,4928690,28.6
2023-08-06,odcilaipas,,5435313,11.0
2019-12-27,mtieco,u3kaecelb3,4530838,-26.4
2019-02-15,tlahnirsucotreednn,,3553017,33.55
2024-04-05,pirdHhooSaew,,6698406,224.29000000000002
2020-11-04,rmyair,,7157852,84.59
2024-02-22,889I666,0g1at51,7109128,139.48
2022-06-26,rp1oaos,,3796559,22.0
2022-07-31,ps2ht420e,,7135583,101.08999999999999
2023-04-03,eorbgr,aolbrglbo,5985694,41.25
2024-02-04,didiuprtremei,bloglarbo,7127016,45.87
2019-11-09,aacgslp,edeisngms,7349602,97.02000000000001
2022-12-21,sreadhioletuntnrnc,,3141658,11.0
2023-11-12,vrvaliwrlnseesidsu,flatfso,6953570,43.45
2021-07-18,igufde,borllgaob,5096546,43.89
2020-09-23,rlthteoncinsdnurea,dnriabemet,3687671,95.26
2024-04-09,ddaoefeotttel,aantehmtsctahpt,5674409,53.349999999999994
2020-07-02,rrsesiuvwndlaivsel,brlabloog,6897956,44.11
2019-05-18,o832vve3el,,7545785,223.74
2022-05-04,owsyaslt,021ubsde,4854317,55.77
2023-03-20,yitrdLaakcyeBbr,vfa0bfs1,6405672,44.66
2020-03-25,nircnesaendtthoulr,urncaenoltdentrshi,3553082,36.19
2024-10-15,lctorsopo,oaflfts,6348303,55.0
2023-03-17,aftrews,immkanjla,5277051,-45.54
2020-12-14,asstvsah,sbvfaf01,6640777,37.4
2020-11-09,seynniitsinef,omexmc,6379594,55.44
2019-11-02,ewylvse,l7ahj4il,3988881,32.78
2023-07-22,sotcelr,obbgorlla,5017363,42.9
2019-01-01,ideufg,bde2u0s1,5491486,43.78
2021-11-07,wyelevs,8805inkkg,3988881,43.230000000000004
2020-09-17,ocliiasapd,,5215431,11.0
2020-05-14,liuahnrceseonndtrt,,3688919,43.12
2023-11-08,itceom,1rmphxy0mau,4530864,171.38
2024-09-21,rpindrgo,bolbarogl,5802615,57.64
2021-07-02,roochyemeaphta,baolgrlbo,7513662,44.330000000000005
2019-09-21,telreannrhtounscid,otmilbda,4581135,45.32
2023-04-02,octooslpr,obgoablrl,6377254,36.410000000000004
2020-09-04,okeoorfbm,3u1bes0d,4898400,43.67
2024-06-10,ckienitsp,va5ldreee,6038201,56.099999999999994
2022-02-12,tdntcnrruaniehleos,ecuhtdlraitsrnenon,4652076,95.26
2023-05-03,nalnttoreiredushnc,,3688815,36.19
2019-12-05,fsdnoruwi,,7515170,62.04
2021-07-19,boefmorok,eu0db31s,5379894,43.010000000000005
2020-05-14,3v8le23ove,,7094321,87.45
2023-07-02,esapeslimle,,7116408,26.73
2021-10-15,gdueif,rbloolgba,5078567,-66.66
2022-06-05,kogeeypmshrrishfr,dige3snr,7260331,92.07
2019-01-02,aphidyl,flifpahdya,5678842,-45.98
2021-07-01,emocti,glliyrbe,4530864,169.29000000000002
2023-01-31,lteoodtetdefa,sulsdmmiyo,4756687,-121.44
2021-07-23,ecrsmdo,a0fbv1fs,4260711,29.48
2022-08-10,eiubsp,,7518537,253.66
2023-03-07,eufdgi,0euds2b1,5491486,43.67
2019-11-10,sttennlrnhuodecari,,3553017,11.0
2024-12-24,nsehulrnetnditocra,Hiamad,3688815,36.19
2019-02-02,croFlwaexMFo,aehokhtl,6740526,74.69
2019-03-19,seelyvw,hTeiyr1de1,3988881,48.510000000000005
2020-01-23,udwionfrs,,5560503,75.24
2021-11-04,dtfadooetetel,btas3fc,4756687,130.9
2023-12-07,iasaldopci,,5431556,51.81
2024-01-07,udgefi,lbgboolar,5096546,44.0
2022-02-17,hgipefsyrhosmrker,ijtdruA2anerssIun,7260279,176.0
2022-02-17,F42LLCP,,7425002,45.760000000000005
2021-09-20,meciot,bbogr8uroee,4530838,117.37
2024-04-27,REENEIBTSOWRDOR,,6608550,47.739999999999995
2020-12-09,uedfgi,1s2eub0d,6618586,43.339999999999996
2022-07-10,irganeventtsli,,6287034,40.7
2021-09-25,temioc,,4531020,-146.52
2022-10-16,astwlsoy,d1bu20es,4854317,59.95
2021-05-16,LoG-rupA,,7220902,79.64
2021-03-26,ildtlsaeaalym,tibmdaol,5467241,104.06
2024-01-28,unagewiseveht,oxmemc,7111221,47.63
2019-12-02,viDsieOslaal,,6812858,103.72999999999999
2019-06-15,guidfe,apeclnio,5090475,76.01
2021-06-02,towcriegpskriens,nau1syG4aasder0te,4649203,17.05
2020-06-29,ytnsneneiisif,nragrusopy,6386536,53.57
2021-10-27,etocsripsngkewri,idchedhrta,4649203,45.21
2023-03-24,ocemit,,4531020,134.31
2022-09-21,ufsdoriwn,,5863195,140.14000000000001
2023-09-12,sehlannottruridenc,,3688815,11.0
2020-07-18,irtporiekcgenwss,w3w2679,4649203,45.98
2021-06-02,ceoitm,amicdohav,4530864,180.39999999999998
2020-02-29,oyhtamceohpaer,ogboalbrl,7513662,44.44
2021-06-07,iordpgnr,oabrbogll,5591417,43.45
2023-01-18,otbnforko,b10s1edu,5459714,43.339999999999996
2020-07-09,atesrfw,nrpysuoagr,7089914,20.46
2024-01-25,snnailuetrdtchrneo,,5604027,43.12
2022-02-07,ueifgd,orlgbabol,5096546,43.56
2021-10-02,3bd0suE7,,7008183,55.11
2023-11-07,mooebfkor,udb10se3,5498480,67.42999999999999
2020-02-05,obefrmook,bolgblaor,4915079,86.67999999999999
2020-09-30,ltndchearrnuotinse,,5466721,43.12
2024-09-14,woyslsta,u0eds12b,4854304,43.230000000000004
2019-02-22,diuegf,blogblora,7479108,43.339999999999996
2023-02-01,rsasnesieKlat,50gat11,6938932,116.71
2019-09-26,druionwsf,,5723562,23.32
2024-12-25,ldchrautsrnoinneet,,3688815,11.0
2023-11-06,prsoctolo,,6348134,44.11
2020-06-02,root,,4234646,11.0
2023-12-15,lhfbofcieate,,6097065,44.88
2020-03-27,uidnfrows,,5723562,24.31
2022-05-13,tcioem,memiwt,4530864,171.27
2021-07-12,rcArttbat,0dbu3l7a,6815666,95.26
2021-06-08,etceyophmrhaoa,paelocni,7462949,43.56
2019-10-11,T1u32bra,iiaznav,5698732,243.98
2024-05-12,motbpaoc,,5695729,43.12
2022-11-24,trhsisece,50n8ki8kg,3928444,52.69
2022-10-04,icinrtrwgeoepsks,oEjolS,4649216,180.51
2020-12-23,Tr1erraedBv70a,0rrTa7dre1aveB,7605039,-75.35
2021-12-12,tosprolco,fsotfla,6348251,43.67
2019-07-02,mptzam,ztpamm,7324486,54.78
2023-04-07,rnutcdhsanroneltei,,3688815,37.730000000000004
2024-06-10,ripondgr,oblgalbro,5802602,-66.88
2023-02-16,kmeooobrf,olbaogrlb,5003063,48.62
2022-08-11,ttnocniuernreslahd,,3808428,-45.21
2023-06-14,oicemt,eroractpokys,4530838,-119.68
2020-08-27,raihndsnroneutcelt,,3688815,11.0
2020-11-01,anecshuriltnnetdro,m7assS4r71o,3688815,45.43
2019-12-08,eel2v383vo,,7141030,288.2
2020-03-26,lnvgaoin,,4026451,25.74
2020-03-28,oekonorfb,rlobaogbl,4974944,55.44
2022-01-21,oemobfork,bu3e0d1s,4898400,44.66
2020-10-25,ooefmrokb,1ueds0b3,4898400,43.45
2021-06-06,aelrescyla,b1d4u0es,5047744,36.410000000000004
2019-08-16,hdnursietlatncerno,,3688815,11.0
2021-04-07,hisrrirkamete,,6570694,95.26
2024-04-26,oriprdgn,lblaborog,5591417,43.12
2021-01-18,otsunneihtcaedrrln,,3139747,11.0
2020-06-24,nhcoetrnalnsreduit,,3688815,11.0
2022-01-26,iondentrehtulracsn,,3688815,37.95
2019-07-16,oocfol,21ga3Ma,4057495,127.27000000000001
2020-09-16,oorlptosc,3s4b0deu,6752369,44.0
2024-07-13,thceooodmr,lffoast,5213975,42.79
2024-05-30,nteudhslcraetnonri,troannhdlserncetui,5466747,43.12
2023-11-05,rtiieOsmbizp,peyoxneamt,4912661,-103.29
2022-12-06,rtohcmodeo,,5130567,43.12
2023-07-16,btfhefaeloci,,6097065,44.88
2022-11-01,oyialldlcmsesastk,lbgaorbol,6898229,37.839999999999996
2024-03-21,gdirnrop,gobollrab,5590676,43.12
2019-06-12,ocnpmtonyiar,,7198789,-85.36
2019-03-30,ylsraeclae,01desub4,5048056,64.78999999999999
2024-03-29,naresuthenotrnldci,rnueohcisdrnlnttea,3688919,43.12
2020-05-21,osinomosmrheic,,5164900,-236.39
2024-12-01,tertnslnirdcaneouh,nrhncltesnraiueotd,5466747,45.43
2019-11-30,elycrseala,b41us0de,5047744,36.410000000000004
2020-01-11,rappwmolrgori,Tu6fio1,5375396,-75.9
2024-01-05,iemcot,,4531020,-132.0
2022-03-28,aostslwy,d0b12eus,4854304,40.81
2024-02-27,drrnpgio,alboborgl,5591417,44.0
2019-10-13,ihlpayd,,5678842,48.510000000000005
2024-05-16,rofoigda,,6752265,41.25
2019-10-27,anBLesisl,7oe0armethm0c,6832800,117.37
2019-11-25,mctoei,,4531007,-250.36
2024-02-12,spitnereerwg,,7367906,99.77000000000001
2023-11-29,bpsiue,,7496658,174.02
2019-04-12,hep22t04s,,7135583,-100.32
2020-10-05,SptmedlemeifFsLehrtoonyaer,,7301606,26.73
2021-07-12,0sb2e3ud,,5737719,19.14
2023-02-27,brokeoofm,lablogrob,4915079,43.339999999999996
2021-06-06,k77k7k7k,,7092982,176.0
2023-09-27,rigdrpno,bgaroblol,5591417,44.55
2020-02-15,LkBbayayrdtcier,0fsf1bav,6104670,36.96
2022-03-14,dtarnenohnlrutscie,,3688815,-11.0
