date,datetime,cash_type,card,money,coffee_name,day,month
2024-03-03,04:27.9,card,ANON-0000-0000-0020,33.8,Americano with Milk,Sunday,March
2024-03-03,08:05.0,card,ANON-0000-0000-0020,38.7,Hot Chocolate,Sunday,March
2024-03-04,03:52.0,card,ANON-0000-0000-0001,38.7,Latte,Monday,March
2024-03-04,54:51.0,card,ANON-0000-0000-0021,38.7,Latte,Monday,March
2024-03-04,05:16.2,card,ANON-0000-0000-0012,33.8,Americano with Milk,Monday,March
2024-03-04,04:37.7,card,ANON-0000-0000-0022,24.0,Espresso,Monday,March
2024-03-05,59:52.7,card,ANON-0000-0000-0001,38.7,Latte,Tuesday,March
2024-03-05,34:56.0,card,ANON-0000-0000-0023,38.7,Latte,Tuesday,March
2024-03-05,34:06.0,card,ANON-0000-0000-0024,38.7,Latte,Tuesday,March
2024-03-05,35:25.0,card,ANON-0000-0000-0025,38.7,Hot Chocolate,Tuesday,March
2024-03-05,36:28.6,card,ANON-0000-0000-0026,38.7,Cocoa,Tuesday,March
2024-03-05,37:13.7,card,ANON-0000-0000-0027,38.7,Hot Chocolate,Tuesday,March
2024-03-05,38:09.4,card,ANON-0000-0000-0009,38.7,Hot Chocolate,Tuesday,March
2024-03-05,56:15.8,card,ANON-0000-0000-0028,28.9,Cortado,Tuesday,March
2024-03-05,01:31.2,card,ANON-0000-0000-0028,38.7,Hot Chocolate,Tuesday,March
2024-03-06,30:27.1,cash,Not Provided,35.0,Americano with Milk,Wednesday,March
2024-03-06,24:07.7,card,ANON-0000-0000-0012,28.9,Americano,Wednesday,March
2024-03-06,25:14.4,card,ANON-0000-0000-0012,28.9,Cortado,Wednesday,March
2024-03-06,52:01.8,card,ANON-0000-0000-0029,38.7,Cappuccino,Wednesday,March
2024-03-06,53:18.3,card,ANON-0000-0000-0029,38.7,Cappuccino,Wednesday,March
2024-03-07,08:58.9,cash,Not Provided,40.0,Latte,Thursday,March
2024-03-07,18:40.5,card,ANON-0000-0000-0030,38.7,Hot Chocolate,Thursday,March
2024-03-07,03:59.0,card,ANON-0000-0000-0031,38.7,Latte,Thursday,March
2024-03-07,25:44.0,cash,Not Provided,40.0,Latte,Thursday,March
2024-03-07,40:22.6,card,ANON-0000-0000-0032,28.9,Americano,Thursday,March
2024-03-07,41:28.8,card,ANON-0000-0000-0033,33.8,Americano with Milk,Thursday,March
2024-03-08,34:41.3,card,ANON-0000-0000-0012,28.9,Cortado,Friday,March
2024-03-08,22:28.7,card,ANON-0000-0000-0034,38.7,Cappuccino,Friday,March
2024-03-08,53:02.0,card,ANON-0000-0000-0035,28.9,Americano,Friday,March
2024-03-08,44:12.7,card,ANON-0000-0000-0012,28.9,Americano,Friday,March
2024-03-08,45:11.0,card,ANON-0000-0000-0033,28.9,Americano,Friday,March
2024-03-08,46:11.2,card,ANON-0000-0000-0012,33.8,Americano with Milk,Friday,March
2024-03-08,57:51.5,card,ANON-0000-0000-0036,38.7,Latte,Friday,March
2024-03-08,59:24.9,card,ANON-0000-0000-0037,38.7,Latte,Friday,March
2024-03-09,49:37.3,cash,Not Provided,40.0,Hot Chocolate,Saturday,March
2024-03-09,05:15.6,card,ANON-0000-0000-0038,24.0,Espresso,Saturday,March
2024-03-09,07:38.3,card,ANON-0000-0000-0039,28.9,Americano,Saturday,March
2024-03-09,09:47.7,card,ANON-0000-0000-0012,38.7,Cappuccino,Saturday,March
2024-03-09,13:03.5,card,ANON-0000-0000-0040,28.9,Americano,Saturday,March
2024-03-09,14:26.5,card,ANON-0000-0000-0040,28.9,Americano,Saturday,March
2024-03-09,09:22.2,card,ANON-0000-0000-0041,38.7,Latte,Saturday,March
2024-03-09,41:06.2,card,ANON-0000-0000-0042,33.8,Americano with Milk,Saturday,March
2024-03-09,53:10.4,card,ANON-0000-0000-0043,28.9,Cortado,Saturday,March
2024-03-09,54:36.8,card,ANON-0000-0000-0043,38.7,Cappuccino,Saturday,March
2024-03-09,08:01.8,card,ANON-0000-0000-0009,33.8,Americano with Milk,Saturday,March
2024-03-09,26:52.9,card,ANON-0000-0000-0044,38.7,Hot Chocolate,Saturday,March
2024-03-09,17:57.6,card,ANON-0000-0000-0009,38.7,Cappuccino,Saturday,March
2024-03-09,19:10.1,card,ANON-0000-0000-0009,38.7,Hot Chocolate,Saturday,March
2024-03-10,44:18.5,cash,Not Provided,30.0,Americano,Sunday,March
2024-03-10,45:29.4,cash,Not Provided,35.0,Americano with Milk,Sunday,March
2024-03-10,06:03.0,cash,Not Provided,40.0,Latte,Sunday,March
2024-03-10,19:20.8,card,ANON-0000-0000-0045,24.0,Espresso,Sunday,March
2024-03-10,51:03.0,cash,Not Provided,35.0,Americano with Milk,Sunday,March
2024-03-10,34:00.5,card,ANON-0000-0000-0046,38.7,Latte,Sunday,March
2024-03-10,35:54.7,card,ANON-0000-0000-0046,28.9,Cortado,Sunday,March
2024-03-11,18:46.7,cash,Not Provided,40.0,Latte,Monday,March
2024-03-11,24:15.0,cash,Not Provided,40.0,Cappuccino,Monday,March
2024-03-11,24:51.6,cash,Not Provided,30.0,Cortado,Monday,March
2024-03-11,26:44.2,cash,Not Provided,30.0,Americano,Monday,March
2024-03-11,32:58.8,card,ANON-0000-0000-0035,38.7,Cappuccino,Monday,March
2024-03-11,24:26.4,card,ANON-0000-0000-0047,28.9,Americano,Monday,March
2024-03-11,25:45.7,card,ANON-0000-0000-0047,38.7,Latte,Monday,March
2024-03-11,50:49.6,card,ANON-0000-0000-0048,28.9,Cortado,Monday,March
2024-03-12,15:00.3,cash,Not Provided,40.0,Latte,Tuesday,March
2024-03-12,15:34.5,card,ANON-0000-0000-0033,28.9,Americano,Tuesday,March
2024-03-12,16:24.9,card,ANON-0000-0000-0033,28.9,Cortado,Tuesday,March
2024-03-12,20:45.6,card,ANON-0000-0000-0049,38.7,Hot Chocolate,Tuesday,March
2024-03-12,46:23.3,card,ANON-0000-0000-0004,33.8,Americano with Milk,Tuesday,March
2024-03-12,47:26.0,card,ANON-0000-0000-0004,28.9,Americano,Tuesday,March
2024-03-12,15:43.3,card,ANON-0000-0000-0050,28.9,Americano,Tuesday,March
2024-03-13,06:43.0,card,ANON-0000-0000-0048,38.7,Hot Chocolate,Wednesday,March
2024-03-13,48:16.8,card,ANON-0000-0000-0004,28.9,Americano,Wednesday,March
2024-03-13,18:06.3,card,ANON-0000-0000-0051,28.9,Americano,Wednesday,March
2024-03-13,19:05.1,card,ANON-0000-0000-0051,28.9,Americano,Wednesday,March
2024-03-13,34:30.3,cash,Not Provided,25.0,Espresso,Wednesday,March
2024-03-13,26:40.9,card,ANON-0000-0000-0052,33.8,Americano with Milk,Wednesday,March
2024-03-13,40:22.3,card,ANON-0000-0000-0053,24.0,Espresso,Wednesday,March
2024-03-13,41:20.4,card,ANON-0000-0000-0053,24.0,Espresso,Wednesday,March
2024-03-13,47:09.4,card,ANON-0000-0000-0054,24.0,Espresso,Wednesday,March
2024-03-14,02:12.2,cash,Not Provided,40.0,Latte,Thursday,March
2024-03-14,28:33.0,card,ANON-0000-0000-0055,38.7,Latte,Thursday,March
2024-03-14,29:34.3,card,ANON-0000-0000-0055,38.7,Hot Chocolate,Thursday,March
2024-03-14,27:29.5,card,ANON-0000-0000-0012,28.9,Cortado,Thursday,March
2024-03-14,28:24.5,card,ANON-0000-0000-0012,28.9,Americano,Thursday,March
2024-03-14,51:59.9,card,ANON-0000-0000-0056,33.8,Americano with Milk,Thursday,March
2024-03-14,52:56.2,card,ANON-0000-0000-0057,24.0,Espresso,Thursday,March
2024-03-14,20:38.4,card,ANON-0000-0000-0058,38.7,Latte,Thursday,March
2024-03-14,04:09.5,card,ANON-0000-0000-0059,33.8,Americano with Milk,Thursday,March
2024-03-14,54:38.2,card,ANON-0000-0000-0050,24.0,Espresso,Thursday,March
2024-03-14,58:55.9,card,ANON-0000-0000-0019,38.7,Hot Chocolate,Thursday,March
2024-03-14,00:08.7,card,ANON-0000-0000-0012,28.9,Cortado,Thursday,March
2024-03-15,02:16.5,cash,Not Provided,40.0,Latte,Friday,March
2024-03-15,53:02.2,card,ANON-0000-0000-0060,38.7,Hot Chocolate,Friday,March
2024-03-15,19:27.9,card,ANON-0000-0000-0012,28.9,Americano,Friday,March
2024-03-16,06:55.2,card,ANON-0000-0000-0061,33.8,Americano with Milk,Saturday,March
2024-03-16,07:53.9,card,ANON-0000-0000-0061,28.9,Americano,Saturday,March
2024-03-16,58:18.5,card,ANON-0000-0000-0009,28.9,Cortado,Saturday,March
2024-03-16,03:21.7,card,ANON-0000-0000-0009,28.9,Cortado,Saturday,March
2024-03-16,04:11.4,card,ANON-0000-0000-0012,28.9,Cortado,Saturday,March
2024-03-16,58:07.2,card,ANON-0000-0000-0062,33.8,Americano with Milk,Saturday,March
2024-03-17,10:21.4,cash,Not Provided,40.0,Latte,Sunday,March
2024-03-17,55:26.1,card,ANON-0000-0000-0063,28.9,Cortado,Sunday,March
2024-03-18,17:59.7,card,ANON-0000-0000-0064,28.9,Cortado,Monday,March
2024-03-18,31:39.7,card,ANON-0000-0000-0003,28.9,Americano,Monday,March
2024-03-18,32:38.2,card,ANON-0000-0000-0003,28.9,Americano,Monday,March
2024-03-18,33:36.7,card,ANON-0000-0000-0003,28.9,Americano,Monday,March
2024-03-19,20:26.0,cash,Not Provided,30.0,Cortado,Tuesday,March
2024-03-19,02:21.5,card,ANON-0000-0000-0065,38.7,Latte,Tuesday,March
2024-03-19,03:19.8,card,ANON-0000-0000-0065,38.7,Latte,Tuesday,March
2024-03-19,04:36.3,card,ANON-0000-0000-0049,38.7,Hot Chocolate,Tuesday,March
2024-03-19,53:48.7,card,ANON-0000-0000-0066,33.8,Americano with Milk,Tuesday,March
2024-03-19,26:32.7,cash,Not Provided,40.0,Hot Chocolate,Tuesday,March
2024-03-20,41:16.4,card,ANON-0000-0000-0012,28.9,Cortado,Wednesday,March
2024-03-20,21:07.7,cash,Not Provided,40.0,Latte,Wednesday,March
2024-03-20,30:49.0,card,ANON-0000-0000-0049,28.9,Cortado,Wednesday,March
2024-03-20,16:47.4,card,ANON-0000-0000-0067,38.7,Cappuccino,Wednesday,March
2024-03-20,42:38.1,card,ANON-0000-0000-0050,38.7,Cocoa,Wednesday,March
2024-03-20,50:28.8,card,ANON-0000-0000-0068,38.7,Latte,Wednesday,March
2024-03-21,18:57.0,cash,Not Provided,40.0,Cappuccino,Thursday,March
2024-03-21,25:09.2,card,ANON-0000-0000-0012,28.9,Cortado,Thursday,March
2024-03-21,26:17.4,card,ANON-0000-0000-0012,38.7,Cappuccino,Thursday,March
2024-03-21,21:01.5,cash,Not Provided,30.0,Americano,Thursday,March
2024-03-21,22:01.4,card,ANON-0000-0000-0012,28.9,Cortado,Thursday,March
2024-03-21,20:36.5,card,ANON-0000-0000-0069,38.7,Latte,Thursday,March
2024-03-22,35:53.6,card,ANON-0000-0000-0070,33.8,Americano with Milk,Friday,March
2024-03-22,29:20.3,card,ANON-0000-0000-0071,33.8,Americano with Milk,Friday,March
2024-03-22,15:14.4,cash,Not Provided,40.0,Cappuccino,Friday,March
2024-03-22,17:03.7,card,ANON-0000-0000-0012,28.9,Americano,Friday,March
2024-03-22,17:59.0,card,ANON-0000-0000-0012,24.0,Espresso,Friday,March
2024-03-22,20:49.5,card,ANON-0000-0000-0050,28.9,Americano,Friday,March
2024-03-23,43:59.6,card,ANON-0000-0000-0072,38.7,Latte,Saturday,March
2024-03-23,45:07.2,card,ANON-0000-0000-0073,33.8,Americano with Milk,Saturday,March
2024-03-23,10:07.7,card,ANON-0000-0000-0074,38.7,Cappuccino,Saturday,March
2024-03-23,11:12.2,card,ANON-0000-0000-0074,38.7,Cocoa,Saturday,March
2024-03-23,44:41.3,card,ANON-0000-0000-0075,33.8,Americano with Milk,Saturday,March
2024-03-23,47:19.1,card,ANON-0000-0000-0076,38.7,Latte,Saturday,March
2024-03-23,49:33.8,card,ANON-0000-0000-0076,33.8,Americano with Milk,Saturday,March
2024-03-23,00:58.4,card,ANON-0000-0000-0009,28.9,Cortado,Saturday,March
2024-03-24,03:56.0,cash,Not Provided,40.0,Latte,Sunday,March
2024-03-24,45:08.4,card,ANON-0000-0000-0077,38.7,Latte,Sunday,March
2024-03-25,31:47.2,card,ANON-0000-0000-0009,38.7,Latte,Monday,March
2024-03-25,16:25.7,cash,Not Provided,35.0,Americano with Milk,Monday,March
2024-03-25,27:09.2,card,ANON-0000-0000-0078,38.7,Latte,Monday,March
2024-03-25,29:25.3,card,ANON-0000-0000-0017,38.7,Latte,Monday,March
2024-03-25,37:30.6,card,ANON-0000-0000-0024,33.8,Americano with Milk,Monday,March
2024-03-25,34:24.5,card,ANON-0000-0000-0079,38.7,Cappuccino,Monday,March
2024-03-26,35:49.7,card,ANON-0000-0000-0055,38.7,Cocoa,Tuesday,March
2024-03-26,36:36.2,card,ANON-0000-0000-0055,38.7,Latte,Tuesday,March
2024-03-26,42:30.2,card,ANON-0000-0000-0080,38.7,Latte,Tuesday,March
2024-03-26,11:47.3,card,ANON-0000-0000-0009,28.9,Cortado,Tuesday,March
2024-03-26,35:52.8,card,ANON-0000-0000-0003,28.9,Americano,Tuesday,March
2024-03-26,36:49.6,card,ANON-0000-0000-0032,28.9,Cortado,Tuesday,March
2024-03-26,37:59.7,card,ANON-0000-0000-0059,28.9,Cortado,Tuesday,March
2024-03-26,57:53.7,card,ANON-0000-0000-0050,28.9,Americano,Tuesday,March
2024-03-26,48:02.3,card,ANON-0000-0000-0081,38.7,Latte,Tuesday,March
2024-03-26,33:38.6,card,ANON-0000-0000-0024,38.7,Latte,Tuesday,March
2024-03-26,34:54.6,card,ANON-0000-0000-0009,38.7,Hot Chocolate,Tuesday,March
2024-03-27,04:51.2,card,ANON-0000-0000-0003,28.9,Cortado,Wednesday,March
2024-03-27,05:58.2,card,ANON-0000-0000-0003,33.8,Americano with Milk,Wednesday,March
2024-03-27,57:00.5,card,ANON-0000-0000-0082,33.8,Americano with Milk,Wednesday,March
2024-03-27,35:20.0,card,ANON-0000-0000-0083,38.7,Hot Chocolate,Wednesday,March
2024-03-27,22:31.7,card,ANON-0000-0000-0012,38.7,Cappuccino,Wednesday,March
2024-03-27,23:35.4,card,ANON-0000-0000-0012,28.9,Americano,Wednesday,March
2024-03-27,30:11.8,card,ANON-0000-0000-0084,28.9,Cortado,Wednesday,March
2024-03-27,31:12.4,cash,Not Provided,40.0,Latte,Wednesday,March
2024-03-28,24:47.1,card,ANON-0000-0000-0085,28.9,Cortado,Thursday,March
2024-03-28,24:46.2,card,ANON-0000-0000-0012,28.9,Cortado,Thursday,March
2024-03-28,27:05.3,card,ANON-0000-0000-0012,28.9,Americano,Thursday,March
2024-03-28,32:44.7,card,ANON-0000-0000-0086,38.7,Latte,Thursday,March
2024-03-29,56:19.5,card,ANON-0000-0000-0087,38.7,Latte,Friday,March
2024-03-29,34:17.4,card,ANON-0000-0000-0088,38.7,Cappuccino,Friday,March
2024-03-29,41:32.1,card,ANON-0000-0000-0088,38.7,Cappuccino,Friday,March
2024-03-29,22:44.6,cash,Not Provided,40.0,Cappuccino,Friday,March
2024-03-30,59:19.9,card,ANON-0000-0000-0069,38.7,Latte,Saturday,March
2024-03-30,49:25.8,cash,Not Provided,40.0,Cappuccino,Saturday,March
2024-03-30,12:31.8,card,ANON-0000-0000-0017,38.7,Latte,Saturday,March
2024-03-30,36:40.5,card,ANON-0000-0000-0009,38.7,Latte,Saturday,March
2024-03-30,37:57.6,card,ANON-0000-0000-0009,33.8,Americano with Milk,Saturday,March
2024-03-31,40:04.5,card,ANON-0000-0000-0089,38.7,Cappuccino,Sunday,March
2024-03-31,36:45.0,cash,Not Provided,30.0,Americano,Sunday,March
2024-04-01,28:47.6,card,ANON-0000-0000-0004,28.9,Americano,Monday,April
2024-04-01,29:42.3,card,ANON-0000-0000-0004,33.8,Americano with Milk,Monday,April
2024-04-01,30:43.7,card,ANON-0000-0000-0004,33.8,Americano with Milk,Monday,April
2024-04-01,15:43.8,card,ANON-0000-0000-0009,33.8,Americano with Milk,Monday,April
2024-04-01,01:42.9,cash,Not Provided,40.0,Cappuccino,Monday,April
2024-04-01,18:42.4,card,ANON-0000-0000-0024,33.8,Americano with Milk,Monday,April
2024-04-01,45:27.4,card,ANON-0000-0000-0090,38.7,Hot Chocolate,Monday,April
2024-04-02,01:14.0,card,ANON-0000-0000-0001,38.7,Latte,Tuesday,April
2024-04-02,18:34.2,card,ANON-0000-0000-0003,28.9,Americano,Tuesday,April
2024-04-02,19:28.5,card,ANON-0000-0000-0003,28.9,Cortado,Tuesday,April
2024-04-02,59:31.9,cash,Not Provided,40.0,Cappuccino,Tuesday,April
2024-04-03,19:13.6,card,ANON-0000-0000-0003,28.9,Cortado,Wednesday,April
2024-04-03,20:07.7,card,ANON-0000-0000-0003,28.9,Americano,Wednesday,April
2024-04-03,12:05.4,card,ANON-0000-0000-0012,38.7,Cappuccino,Wednesday,April
2024-04-03,36:11.7,cash,Not Provided,30.0,Cortado,Wednesday,April
2024-04-04,44:56.0,card,ANON-0000-0000-0091,38.7,Latte,Thursday,April
2024-04-04,26:38.1,card,ANON-0000-0000-0092,38.7,Latte,Thursday,April
2024-04-04,27:48.4,card,ANON-0000-0000-0093,38.7,Cappuccino,Thursday,April
2024-04-04,23:02.2,card,ANON-0000-0000-0094,28.9,Cortado,Thursday,April
2024-04-04,42:07.7,cash,Not Provided,40.0,Latte,Thursday,April
2024-04-05,40:42.7,card,ANON-0000-0000-0095,28.9,Americano,Friday,April
2024-04-05,42:06.2,card,ANON-0000-0000-0012,28.9,Americano,Friday,April
2024-04-05,06:14.6,card,ANON-0000-0000-0096,28.9,Cortado,Friday,April
2024-04-05,14:28.0,card,ANON-0000-0000-0097,33.8,Americano with Milk,Friday,April
2024-04-05,23:40.4,card,ANON-0000-0000-0098,38.7,Latte,Friday,April
2024-04-05,24:50.4,card,ANON-0000-0000-0098,28.9,Cortado,Friday,April
2024-04-05,30:50.4,cash,Not Provided,40.0,Latte,Friday,April
2024-04-05,54:15.8,cash,Not Provided,40.0,Cappuccino,Friday,April
2024-04-05,55:30.9,cash,Not Provided,30.0,Americano,Friday,April
2024-04-05,17:44.0,cash,Not Provided,40.0,Cocoa,Friday,April
2024-04-05,18:23.6,card,ANON-0000-0000-0003,24.0,Espresso,Friday,April
2024-04-06,32:31.4,card,ANON-0000-0000-0099,33.8,Americano with Milk,Saturday,April
2024-04-06,13:18.7,card,ANON-0000-0000-0040,38.7,Cappuccino,Saturday,April
2024-04-06,14:27.0,card,ANON-0000-0000-0040,28.9,Americano,Saturday,April
2024-04-06,49:50.2,card,ANON-0000-0000-0009,38.7,Latte,Saturday,April
2024-04-07,12:53.2,card,ANON-0000-0000-0091,38.7,Latte,Sunday,April
2024-04-07,44:31.9,card,ANON-0000-0000-0040,38.7,Cappuccino,Sunday,April
2024-04-07,46:05.1,card,ANON-0000-0000-0040,38.7,Cappuccino,Sunday,April
2024-04-07,16:24.9,card,ANON-0000-0000-0100,28.9,Cortado,Sunday,April
2024-04-07,17:30.6,card,ANON-0000-0000-0100,24.0,Espresso,Sunday,April
2024-04-07,01:16.6,card,ANON-0000-0000-0101,38.7,Hot Chocolate,Sunday,April
2024-04-07,02:03.9,card,ANON-0000-0000-0101,33.8,Americano with Milk,Sunday,April
2024-04-08,58:21.1,card,ANON-0000-0000-0102,33.8,Americano with Milk,Monday,April
2024-04-08,59:27.6,card,ANON-0000-0000-0103,38.7,Cappuccino,Monday,April
2024-04-08,01:20.5,card,ANON-0000-0000-0012,28.9,Americano,Monday,April
2024-04-08,04:47.0,card,ANON-0000-0000-0104,38.7,Cappuccino,Monday,April
2024-04-08,54:25.9,cash,Not Provided,25.0,Espresso,Monday,April
2024-04-08,43:36.9,cash,Not Provided,35.0,Americano with Milk,Monday,April
2024-04-08,41:37.8,card,ANON-0000-0000-0017,38.7,Latte,Monday,April
2024-04-08,18:09.7,card,ANON-0000-0000-0105,28.9,Americano,Monday,April
2024-04-08,22:27.5,card,ANON-0000-0000-0024,33.8,Americano with Milk,Monday,April
2024-04-08,23:59.3,card,ANON-0000-0000-0106,38.7,Cappuccino,Monday,April
2024-04-09,22:27.4,cash,Not Provided,40.0,Cappuccino,Tuesday,April
2024-04-09,24:10.1,cash,Not Provided,30.0,Americano,Tuesday,April
2024-04-09,42:28.5,card,ANON-0000-0000-0091,38.7,Latte,Tuesday,April
2024-04-09,11:48.7,card,ANON-0000-0000-0107,38.7,Hot Chocolate,Tuesday,April
2024-04-09,25:23.9,card,ANON-0000-0000-0049,38.7,Hot Chocolate,Tuesday,April
2024-04-10,21:26.2,cash,Not Provided,25.0,Espresso,Wednesday,April
2024-04-10,55:07.0,cash,Not Provided,40.0,Hot Chocolate,Wednesday,April
2024-04-10,55:31.2,card,ANON-0000-0000-0108,24.0,Espresso,Wednesday,April
2024-04-10,24:59.3,card,ANON-0000-0000-0009,38.7,Cappuccino,Wednesday,April
2024-04-10,04:05.4,card,ANON-0000-0000-0109,38.7,Latte,Wednesday,April
2024-04-11,41:23.2,card,ANON-0000-0000-0110,28.9,Americano,Thursday,April
2024-04-11,42:59.4,card,ANON-0000-0000-0110,28.9,Americano,Thursday,April
2024-04-11,35:23.1,card,ANON-0000-0000-0017,38.7,Latte,Thursday,April
2024-04-11,16:56.6,card,ANON-0000-0000-0106,38.7,Cappuccino,Thursday,April
2024-04-11,18:36.6,card,ANON-0000-0000-0024,33.8,Americano with Milk,Thursday,April
2024-04-12,03:43.4,card,ANON-0000-0000-0019,38.7,Hot Chocolate,Friday,April
2024-04-12,38:23.2,card,ANON-0000-0000-0009,28.9,Cortado,Friday,April
2024-04-13,29:19.8,card,ANON-0000-0000-0009,38.7,Latte,Saturday,April
2024-04-13,43:02.4,card,ANON-0000-0000-0012,28.9,Americano,Saturday,April
2024-04-13,06:52.3,cash,Not Provided,40.0,Hot Chocolate,Saturday,April
2024-04-13,07:56.0,cash,Not Provided,40.0,Hot Chocolate,Saturday,April
2024-04-13,18:03.9,card,ANON-0000-0000-0111,38.7,Cappuccino,Saturday,April
2024-04-13,19:39.8,card,ANON-0000-0000-0111,38.7,Latte,Saturday,April
2024-04-13,51:26.0,card,ANON-0000-0000-0112,38.7,Cappuccino,Saturday,April
2024-04-13,53:19.2,card,ANON-0000-0000-0012,38.7,Cappuccino,Saturday,April
2024-04-14,55:27.4,cash,Not Provided,40.0,Latte,Sunday,April
2024-04-14,24:39.0,card,ANON-0000-0000-0113,38.7,Cappuccino,Sunday,April
2024-04-14,27:09.0,cash,Not Provided,30.0,Cortado,Sunday,April
2024-04-14,29:06.9,cash,Not Provided,30.0,Cortado,Sunday,April
2024-04-14,31:36.0,cash,Not Provided,35.0,Americano with Milk,Sunday,April
2024-04-14,21:49.8,card,ANON-0000-0000-0114,28.9,Cortado,Sunday,April
2024-04-14,23:31.6,card,ANON-0000-0000-0012,28.9,Americano,Sunday,April
2024-04-14,24:26.9,card,ANON-0000-0000-0012,28.9,Americano,Sunday,April
2024-04-14,25:18.1,card,ANON-0000-0000-0012,28.9,Americano,Sunday,April
2024-04-14,46:27.7,card,ANON-0000-0000-0017,38.7,Cappuccino,Sunday,April
2024-04-14,59:54.8,card,ANON-0000-0000-0012,28.9,Cortado,Sunday,April
2024-04-14,00:45.4,card,ANON-0000-0000-0019,38.7,Latte,Sunday,April
2024-04-14,38:19.6,card,ANON-0000-0000-0115,38.7,Cappuccino,Sunday,April
2024-04-15,45:24.6,card,ANON-0000-0000-0064,28.9,Americano,Monday,April
2024-04-15,01:46.4,card,ANON-0000-0000-0003,28.9,Americano,Monday,April
2024-04-15,02:49.7,card,ANON-0000-0000-0004,33.8,Americano with Milk,Monday,April
2024-04-15,33:03.0,card,ANON-0000-0000-0009,33.8,Americano with Milk,Monday,April
2024-04-15,41:58.1,cash,Not Provided,25.0,Espresso,Monday,April
2024-04-16,43:49.9,cash,Not Provided,35.0,Americano with Milk,Tuesday,April
2024-04-16,46:25.7,card,ANON-0000-0000-0116,33.8,Americano with Milk,Tuesday,April
2024-04-16,40:47.7,card,ANON-0000-0000-0117,38.7,Cocoa,Tuesday,April
2024-04-16,52:07.7,card,ANON-0000-0000-0064,28.9,Cortado,Tuesday,April
2024-04-16,03:16.9,card,ANON-0000-0000-0118,28.9,Americano,Tuesday,April
2024-04-16,42:04.2,card,ANON-0000-0000-0024,33.8,Americano with Milk,Tuesday,April
2024-04-16,43:23.0,card,ANON-0000-0000-0009,38.7,Cappuccino,Tuesday,April
2024-04-16,09:05.3,card,ANON-0000-0000-0050,38.7,Cocoa,Tuesday,April
2024-04-17,32:59.8,card,ANON-0000-0000-0012,28.9,Americano,Wednesday,April
2024-04-17,44:00.2,card,ANON-0000-0000-0119,24.0,Espresso,Wednesday,April
2024-04-17,13:24.3,cash,Not Provided,40.0,Cappuccino,Wednesday,April
2024-04-17,01:35.1,card,ANON-0000-0000-0120,38.7,Cappuccino,Wednesday,April
2024-04-17,02:40.7,card,ANON-0000-0000-0120,38.7,Cappuccino,Wednesday,April
2024-04-17,14:03.2,card,ANON-0000-0000-0121,28.9,Cortado,Wednesday,April
2024-04-18,19:01.7,card,ANON-0000-0000-0003,28.9,Americano,Thursday,April
2024-04-18,20:05.7,card,ANON-0000-0000-0003,28.9,Americano,Thursday,April
2024-04-18,49:12.7,card,ANON-0000-0000-0122,33.8,Americano with Milk,Thursday,April
